user,itemId,score,reg_score,rank,title,genres,ground_truth
0,1395,4.480956,4.404684484765885,1,Tin Men (1987),Comedy|Drama,
0,5056,4.4053774,4.349138527728141,2,,,
0,5536,4.3880777,4.34139605785938,3,,,
0,2158,4.4779925,4.373188454039553,4,,,
0,2759,4.3820724,4.335454656722698,5,Dick (1999),Comedy,
1,1395,4.155732,4.084996288380724,1,Tin Men (1987),Comedy|Drama,
1,3162,4.131885,4.043972603818204,2,Simpatico (1999),Comedy|Drama,
1,3503,4.0826135,4.013122175094929,3,Solaris (Solyaris) (1972),Drama|Mystery|Sci-Fi,
1,3233,4.088876,4.0192778851123565,4,,,
1,1195,4.065606,3.9877540852161166,5,,,
2,1395,3.71724,3.653967923306404,1,Tin Men (1987),Comedy|Drama,
2,3544,3.6657143,3.579920951356279,2,Shakes the Clown (1992),Comedy,
2,2795,3.5699072,3.5319294523685536,3,National Lampoon's Vacation (1983),Comedy,
2,3162,3.6816926,3.603358715138537,4,Simpatico (1999),Comedy|Drama,
2,1121,3.6131084,3.5208588204485305,5,Glory Daze (1995),Drama,
3,1395,4.0434637,3.9746387928090194,1,Tin Men (1987),Comedy|Drama,
3,3503,3.9629471,3.895492710965745,2,Solaris (Solyaris) (1972),Drama|Mystery|Sci-Fi,
3,3233,3.9697757,3.90220502691066,3,,,
3,5646,4.0022383,3.942630469545405,4,Valmont (1989),Drama|Romance,
3,2427,4.0453515,3.873208888033603,5,"Thin Red Line, The (1998)",Action|Drama|War,
4,1395,4.0953045,4.025597178682368,1,Tin Men (1987),Comedy|Drama,
4,3162,4.0701313,3.983532763542013,2,Simpatico (1999),Comedy|Drama,
4,3233,4.0247793,3.956272437724661,3,,,
4,3544,4.0581174,3.9631401741758308,4,Shakes the Clown (1992),Comedy,
4,3611,3.9803066,3.929494200361536,5,,,
5,1395,4.204419,4.132854555008259,1,Tin Men (1987),Comedy|Drama,
5,3503,4.1346397,4.064262893352103,2,Solaris (Solyaris) (1972),Drama|Mystery|Sci-Fi,
5,2158,4.2001586,4.101857011876207,3,,,
5,2795,4.108232,4.064527425360173,4,National Lampoon's Vacation (1983),Comedy,
5,3611,4.1003084,4.04796405548745,5,,,
6,1395,4.0100803,3.941823650928254,1,Tin Men (1987),Comedy|Drama,
6,3544,3.9702144,3.8772944561978604,2,Shakes the Clown (1992),Comedy,
6,3503,3.927456,3.860605588872382,3,Solaris (Solyaris) (1972),Drama|Mystery|Sci-Fi,
6,3162,3.9830601,3.8983141615035684,4,Simpatico (1999),Comedy|Drama,
6,3611,3.8860536,3.8364443677536983,5,,,
7,1395,4.1530566,4.0823662960782965,1,Tin Men (1987),Comedy|Drama,
7,3544,4.1177325,4.021360061523763,2,Shakes the Clown (1992),Comedy,
7,4261,4.1260653,4.0207189072953895,3,,,
7,3162,4.1291494,4.041295193611307,4,Simpatico (1999),Comedy|Drama,
7,2427,4.154759,3.977960677857095,5,"Thin Red Line, The (1998)",Action|Drama|War,
8,1395,4.068665,3.999411154807882,1,Tin Men (1987),Comedy|Drama,
8,2795,3.9599957,3.9178681322868836,2,National Lampoon's Vacation (1983),Comedy,
8,5056,3.9469619,3.896575132329413,3,,,
8,3503,3.9897828,3.9218716134416294,4,Solaris (Solyaris) (1972),Drama|Mystery|Sci-Fi,
8,1121,3.9915,3.889589265052308,5,Glory Daze (1995),Drama,
9,1395,4.030097,3.961499611874844,1,Tin Men (1987),Comedy|Drama,
9,4261,4.0000014,3.897873734413309,2,,,
9,2158,4.025121,3.930916247469314,3,,,
9,2795,3.9178486,3.8761693467485143,4,National Lampoon's Vacation (1983),Comedy,
9,3544,3.990849,3.8974461687372086,5,Shakes the Clown (1992),Comedy,
10,1395,4.2760735,4.203289226775474,1,Tin Men (1987),Comedy|Drama,
10,5646,4.2430196,4.1798256721902405,2,Valmont (1989),Drama|Romance,
10,3611,4.17951,4.126154668280419,3,,,
10,3503,4.2114,4.139716627242717,4,Solaris (Solyaris) (1972),Drama|Mystery|Sci-Fi,
10,5536,4.153458,4.1092723937744795,5,,,
11,1395,4.4928136,4.416340164428061,1,Tin Men (1987),Comedy|Drama,
11,2158,4.48991,4.384827122789749,2,,,
11,5646,4.4684258,4.401874728913003,3,Valmont (1989),Drama|Romance,
11,5056,4.418738,4.362328468485082,4,,,
11,3544,4.4698515,4.365237948235046,5,Shakes the Clown (1992),Comedy,
12,1395,4.1794376,4.108298273289457,1,Tin Men (1987),Comedy|Drama,
12,5056,4.0690737,4.017128055653673,2,,,
12,3544,4.1449876,4.047977235469412,3,Shakes the Clown (1992),Comedy,
12,2795,4.0808897,4.0374759816108865,4,National Lampoon's Vacation (1983),Comedy,
12,5646,4.1428556,4.081153538886537,5,Valmont (1989),Drama|Romance,
13,1395,4.162891,4.092033193466511,1,Tin Men (1987),Comedy|Drama,
13,5056,4.0508075,3.9990950401793133,2,,,
13,3544,4.127891,4.031280847305947,3,Shakes the Clown (1992),Comedy,
13,2795,4.0628014,4.019580070008623,4,National Lampoon's Vacation (1983),Comedy,
13,1121,4.0918446,3.9873719316847778,5,Glory Daze (1995),Drama,
14,1395,4.039015,3.9702656279218957,1,Tin Men (1987),Comedy|Drama,
