user,itemId,score,reg_score,rank,title,genres,ground_truth
0,1395,4.746391,4.6656011885785045,1,Tin Men (1987),Comedy|Drama,
0,3126,4.687521,4.647627185253387,2,,,
0,5670,4.657378,4.627650250779822,3,Comedian (2002),Comedy|Documentary,
0,6542,4.6790075,4.659096859871073,4,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
0,5647,4.6635113,4.633744182992489,5,,,
1,1395,4.5420613,4.464749646694102,1,Tin Men (1987),Comedy|Drama,
1,5218,4.3692393,4.332054314714797,2,Ice Age (2002),Adventure|Animation|Children|Comedy,
1,6542,4.426641,4.407804217237107,3,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
1,3066,4.408191,4.361295552963906,4,Tora! Tora! Tora! (1970),Action|Drama|War,
1,2793,4.3483133,4.329809870618455,5,"American Werewolf in Paris, An (1997)",Comedy|Horror|Romance|Thriller,
2,1395,4.0664506,3.997234415500722,1,Tin Men (1987),Comedy|Drama,
2,3066,3.8068247,3.7663265492053744,2,Tora! Tora! Tora! (1970),Action|Drama|War,
2,5647,3.8098838,3.785565425487275,3,,,
2,5218,3.7308872,3.699134943333078,4,Ice Age (2002),Adventure|Animation|Children|Comedy,
2,6542,3.8455698,3.8292057219972,5,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
3,1395,4.4792347,4.402992402746322,1,Tin Men (1987),Comedy|Drama,
3,5670,4.3090744,4.2815696716308596,2,Comedian (2002),Comedy|Documentary,
3,3611,4.3264647,4.2712331893596245,3,,,
3,6542,4.348212,4.329708736500842,4,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
3,5646,4.3054676,4.2413436199756385,5,Valmont (1989),Drama|Romance,
4,1395,4.508885,4.432137929632309,1,Tin Men (1987),Comedy|Drama,
4,8833,4.3631577,4.344591120456127,2,Vanity Fair (2004),Drama|Romance,
4,3611,4.3644233,4.308707233185464,3,,,
4,4261,4.393342,4.28117158362206,4,,,
4,5218,4.3238688,4.287069868534169,5,Ice Age (2002),Adventure|Animation|Children|Comedy,
5,1395,4.5437384,4.466398137681027,1,Tin Men (1987),Comedy|Drama,
5,5670,4.387401,4.359396416075686,2,Comedian (2002),Comedy|Documentary,
5,2795,4.4118347,4.364900304916057,3,National Lampoon's Vacation (1983),Comedy,
5,3611,4.406556,4.350302221419963,4,,,
5,8833,4.406275,4.387524690019323,5,Vanity Fair (2004),Drama|Romance,
6,1395,4.4102516,4.335183504794506,1,Tin Men (1987),Comedy|Drama,
6,8833,4.2403073,4.222263470101864,2,Vanity Fair (2004),Drama|Romance,
6,5670,4.221873,4.19492468225195,3,Comedian (2002),Comedy|Documentary,
6,2256,4.2204847,4.184565714572338,4,Parasite (1982),Horror|Sci-Fi,
