user,itemId,score,rank,category,title,genres
0,2075,4.476775,1,short_head,Mephisto (1981),Drama|War
0,1395,4.541074,2,long_tail,Tin Men (1987),Comedy|Drama
0,2427,4.4562416,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
0,3008,4.4544067,4,short_head,Last Night (1998),Drama|Sci-Fi
0,2097,4.4517612,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
1,2075,4.2418375,1,short_head,Mephisto (1981),Drama|War
1,1395,4.3306913,2,long_tail,Tin Men (1987),Comedy|Drama
1,2427,4.2137036,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
1,3008,4.211195,4,short_head,Last Night (1998),Drama|Sci-Fi
1,3162,4.3219385,5,long_tail,Simpatico (1999),Comedy|Drama
2,2075,3.750791,1,short_head,Mephisto (1981),Drama|War
2,1395,3.910837,2,long_tail,Tin Men (1987),Comedy|Drama
2,3162,3.8970485,3,long_tail,Simpatico (1999),Comedy|Drama
2,2427,3.6990309,4,short_head,"Thin Red Line, The (1998)",Action|Drama|War
2,3008,3.692064,5,short_head,Last Night (1998),Drama|Sci-Fi
3,2075,4.1040125,1,short_head,Mephisto (1981),Drama|War
3,1395,4.205967,2,long_tail,Tin Men (1987),Comedy|Drama
3,2427,4.0706472,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
3,3162,4.1959004,4,long_tail,Simpatico (1999),Comedy|Drama
3,3008,4.0672903,5,short_head,Last Night (1998),Drama|Sci-Fi
4,2075,4.1547985,1,short_head,Mephisto (1981),Drama|War
4,1395,4.251644,2,long_tail,Tin Men (1987),Comedy|Drama
4,2427,4.1242766,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
4,3008,4.121817,4,short_head,Last Night (1998),Drama|Sci-Fi
4,2097,4.1177425,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
5,2075,4.306435,1,short_head,Mephisto (1981),Drama|War
5,1395,4.3888097,2,long_tail,Tin Men (1987),Comedy|Drama
5,2427,4.2802916,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
5,3162,4.380708,4,long_tail,Simpatico (1999),Comedy|Drama
5,3008,4.2779593,5,short_head,Last Night (1998),Drama|Sci-Fi
6,2075,4.060957,1,short_head,Mephisto (1981),Drama|War
6,1395,4.166772,2,long_tail,Tin Men (1987),Comedy|Drama
6,2427,4.026582,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
6,3008,4.022905,4,short_head,Last Night (1998),Drama|Sci-Fi
6,2097,4.0189257,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
7,2075,4.2121916,1,short_head,Mephisto (1981),Drama|War
7,1395,4.3039503,2,long_tail,Tin Men (1987),Comedy|Drama
7,2427,4.1831694,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
7,3008,4.1805825,4,short_head,Last Night (1998),Drama|Sci-Fi
7,2097,4.1768546,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
8,2075,4.1151648,1,short_head,Mephisto (1981),Drama|War
8,1395,4.214992,2,long_tail,Tin Men (1987),Comedy|Drama
8,2427,4.0836225,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
8,3162,4.2050047,4,long_tail,Simpatico (1999),Comedy|Drama
8,3008,4.0810833,5,short_head,Last Night (1998),Drama|Sci-Fi
9,2075,4.074419,1,short_head,Mephisto (1981),Drama|War
9,1395,4.177925,2,long_tail,Tin Men (1987),Comedy|Drama
9,2427,4.041763,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
9,3162,4.1675596,4,long_tail,Simpatico (1999),Comedy|Drama
9,3008,4.039131,5,short_head,Last Night (1998),Drama|Sci-Fi
10,2075,4.320642,1,short_head,Mephisto (1981),Drama|War
10,1395,4.401564,2,long_tail,Tin Men (1987),Comedy|Drama
10,2427,4.2949467,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
10,3008,4.2926545,4,short_head,Last Night (1998),Drama|Sci-Fi
10,2097,4.289349,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
11,2075,4.5449295,1,short_head,Mephisto (1981),Drama|War
11,1395,4.6015983,2,long_tail,Tin Men (1987),Comedy|Drama
11,2427,4.5267887,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
11,3008,4.525166,4,short_head,Last Night (1998),Drama|Sci-Fi
11,2097,4.5228267,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
12,2075,4.2757,1,short_head,Mephisto (1981),Drama|War
12,1395,4.361183,2,long_tail,Tin Men (1987),Comedy|Drama
12,2427,4.2486005,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
12,3008,4.246183,4,short_head,Last Night (1998),Drama|Sci-Fi
12,3162,4.3527703,5,long_tail,Simpatico (1999),Comedy|Drama
13,2075,4.234434,1,short_head,Mephisto (1981),Drama|War
13,1395,4.324018,2,long_tail,Tin Men (1987),Comedy|Drama
13,2427,4.206077,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
13,3008,4.2035494,4,short_head,Last Night (1998),Drama|Sci-Fi
13,2097,4.199906,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
14,2075,4.087412,1,short_head,Mephisto (1981),Drama|War
14,1395,4.189754,2,long_tail,Tin Men (1987),Comedy|Drama
14,2427,4.0551076,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
14,3008,4.0525093,4,short_head,Last Night (1998),Drama|Sci-Fi
14,2097,4.0481873,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
15,2075,4.0947843,1,short_head,Mephisto (1981),Drama|War
15,1395,4.196801,2,long_tail,Tin Men (1987),Comedy|Drama
15,2427,4.06162,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
15,3008,4.058664,4,short_head,Last Night (1998),Drama|Sci-Fi
15,2097,4.05457,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
16,2075,4.2810817,1,short_head,Mephisto (1981),Drama|War
16,1395,4.366024,2,long_tail,Tin Men (1987),Comedy|Drama
16,2427,4.254148,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
16,3008,4.2517457,4,short_head,Last Night (1998),Drama|Sci-Fi
16,2097,4.2482834,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
17,2075,4.2425256,1,short_head,Mephisto (1981),Drama|War
17,3162,4.322566,2,long_tail,Simpatico (1999),Comedy|Drama
17,2427,4.2144127,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
17,3008,4.211906,4,short_head,Last Night (1998),Drama|Sci-Fi
17,4261,4.311189,5,long_tail,,
18,2075,3.796656,1,short_head,Mephisto (1981),Drama|War
18,1395,3.9526234,2,long_tail,Tin Men (1987),Comedy|Drama
18,2427,3.7462554,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
18,3162,3.939222,4,long_tail,Simpatico (1999),Comedy|Drama
18,3008,3.7395878,5,short_head,Last Night (1998),Drama|Sci-Fi
19,2075,4.2955294,1,short_head,Mephisto (1981),Drama|War
19,1395,4.3790126,2,long_tail,Tin Men (1987),Comedy|Drama
19,2427,4.269045,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
19,3008,4.266682,4,short_head,Last Night (1998),Drama|Sci-Fi
19,3162,4.3707995,5,long_tail,Simpatico (1999),Comedy|Drama
20,2075,4.1195517,1,short_head,Mephisto (1981),Drama|War
20,1395,4.2189784,2,long_tail,Tin Men (1987),Comedy|Drama
20,2427,4.0881314,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
20,3162,4.2090325,4,long_tail,Simpatico (1999),Comedy|Drama
20,3008,4.085603,5,short_head,Last Night (1998),Drama|Sci-Fi
21,2075,3.37155,1,short_head,Mephisto (1981),Drama|War
21,1395,3.5615656,2,long_tail,Tin Men (1987),Comedy|Drama
21,2427,3.3121445,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
21,3008,3.3036108,4,short_head,Last Night (1998),Drama|Sci-Fi
21,2097,3.2992742,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
22,2427,4.036833,1,short_head,"Thin Red Line, The (1998)",Action|Drama|War
22,1395,4.1752963,2,long_tail,Tin Men (1987),Comedy|Drama
22,3008,4.033615,3,short_head,Last Night (1998),Drama|Sci-Fi
22,3162,4.1649046,4,long_tail,Simpatico (1999),Comedy|Drama
22,423,3.9885187,5,short_head,Blown Away (1994),Action|Thriller
23,2075,4.154064,1,short_head,Mephisto (1981),Drama|War
23,1395,4.25139,2,long_tail,Tin Men (1987),Comedy|Drama
23,2427,4.1233473,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
23,3008,4.12061,4,short_head,Last Night (1998),Drama|Sci-Fi
23,2097,4.1166673,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
24,2075,4.47254,1,short_head,Mephisto (1981),Drama|War
24,3162,4.530962,2,long_tail,Simpatico (1999),Comedy|Drama
24,2427,4.4518604,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
24,3008,4.450012,4,short_head,Last Night (1998),Drama|Sci-Fi
24,4261,4.5226994,5,long_tail,,
25,2075,4.148891,1,short_head,Mephisto (1981),Drama|War
25,1395,4.2457347,2,long_tail,Tin Men (1987),Comedy|Drama
25,2427,4.118294,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
25,3008,4.1158314,4,short_head,Last Night (1998),Drama|Sci-Fi
25,2097,4.111735,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
26,2075,4.1606264,1,short_head,Mephisto (1981),Drama|War
26,1395,4.257332,2,long_tail,Tin Men (1987),Comedy|Drama
26,2427,4.130097,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
26,3008,4.1273775,4,short_head,Last Night (1998),Drama|Sci-Fi
26,3162,4.2477865,5,long_tail,Simpatico (1999),Comedy|Drama
27,2075,3.8122783,1,short_head,Mephisto (1981),Drama|War
27,1395,3.966335,2,long_tail,Tin Men (1987),Comedy|Drama
27,2427,3.7622523,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
27,3162,3.9531765,4,long_tail,Simpatico (1999),Comedy|Drama
27,3008,3.7555633,5,short_head,Last Night (1998),Drama|Sci-Fi
28,2075,4.2944946,1,short_head,Mephisto (1981),Drama|War
28,1395,4.3780823,2,long_tail,Tin Men (1987),Comedy|Drama
28,2427,4.2679777,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
28,3008,4.2656126,4,short_head,Last Night (1998),Drama|Sci-Fi
28,2097,4.2622027,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
29,2075,4.4195037,1,short_head,Mephisto (1981),Drama|War
29,1395,4.49004,2,long_tail,Tin Men (1987),Comedy|Drama
29,2427,4.3970256,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
29,3008,4.395018,4,short_head,Last Night (1998),Drama|Sci-Fi
29,2097,4.3921237,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
30,2075,4.308256,1,short_head,Mephisto (1981),Drama|War
30,1395,4.390445,2,long_tail,Tin Men (1987),Comedy|Drama
30,2427,4.28217,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
30,3008,4.279843,4,short_head,Last Night (1998),Drama|Sci-Fi
30,2097,4.2764883,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
31,2075,4.276926,1,short_head,Mephisto (1981),Drama|War
31,1395,4.3622866,2,long_tail,Tin Men (1987),Comedy|Drama
31,3008,4.2474504,3,short_head,Last Night (1998),Drama|Sci-Fi
31,2097,4.243972,4,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
31,423,4.211569,5,short_head,Blown Away (1994),Action|Thriller
32,2075,4.220967,1,short_head,Mephisto (1981),Drama|War
32,1395,4.3118706,2,long_tail,Tin Men (1987),Comedy|Drama
32,2427,4.1922064,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
32,3162,4.3029113,4,long_tail,Simpatico (1999),Comedy|Drama
32,3008,4.189642,5,short_head,Last Night (1998),Drama|Sci-Fi
33,2075,4.1641393,1,short_head,Mephisto (1981),Drama|War
33,1395,4.259655,2,long_tail,Tin Men (1987),Comedy|Drama
33,2427,4.133976,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
33,3008,4.131548,4,short_head,Last Night (1998),Drama|Sci-Fi
33,3162,4.250143,5,long_tail,Simpatico (1999),Comedy|Drama
34,2075,4.367591,1,short_head,Mephisto (1981),Drama|War
34,1395,4.44364,2,long_tail,Tin Men (1987),Comedy|Drama
34,2427,4.343401,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
34,3008,4.341242,4,short_head,Last Night (1998),Drama|Sci-Fi
34,2097,4.338129,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
35,2075,3.7223148,1,short_head,Mephisto (1981),Drama|War
35,1395,3.885019,2,long_tail,Tin Men (1987),Comedy|Drama
35,2427,3.6697934,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
35,3008,3.6627266,4,short_head,Last Night (1998),Drama|Sci-Fi
35,3162,3.8710225,5,long_tail,Simpatico (1999),Comedy|Drama
36,2075,4.349595,1,short_head,Mephisto (1981),Drama|War
36,1395,4.4275246,2,long_tail,Tin Men (1987),Comedy|Drama
36,2427,4.3248234,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
36,3008,4.322613,4,short_head,Last Night (1998),Drama|Sci-Fi
36,2097,4.3194256,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
37,2075,4.114872,1,short_head,Mephisto (1981),Drama|War
37,1395,4.2147264,2,long_tail,Tin Men (1987),Comedy|Drama
37,2427,4.0833216,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
37,3008,4.080771,4,short_head,Last Night (1998),Drama|Sci-Fi
37,2097,4.0765514,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
38,2075,4.242061,1,short_head,Mephisto (1981),Drama|War
38,1395,4.3308935,2,long_tail,Tin Men (1987),Comedy|Drama
38,2427,4.2139344,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
38,3008,4.2114263,4,short_head,Last Night (1998),Drama|Sci-Fi
38,2097,4.2078123,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
39,2075,4.3472605,1,short_head,Mephisto (1981),Drama|War
39,1395,4.425433,2,long_tail,Tin Men (1987),Comedy|Drama
39,2427,4.3224134,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
39,3008,4.320196,4,short_head,Last Night (1998),Drama|Sci-Fi
39,2097,4.3169994,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
40,2075,3.972788,1,short_head,Mephisto (1981),Drama|War
40,1395,4.0938663,2,long_tail,Tin Men (1987),Comedy|Drama
40,2427,3.928735,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
40,3008,3.9229348,4,short_head,Last Night (1998),Drama|Sci-Fi
40,2097,3.918902,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
41,2075,4.292088,1,short_head,Mephisto (1981),Drama|War
41,1395,4.3759193,2,long_tail,Tin Men (1987),Comedy|Drama
41,2427,4.2654963,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
41,3162,4.367672,4,long_tail,Simpatico (1999),Comedy|Drama
41,3008,4.2631245,5,short_head,Last Night (1998),Drama|Sci-Fi
42,2075,4.6172733,1,short_head,Mephisto (1981),Drama|War
42,1395,4.6655965,2,long_tail,Tin Men (1987),Comedy|Drama
42,2427,4.6017637,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
42,3008,4.6003757,4,short_head,Last Night (1998),Drama|Sci-Fi
42,3162,4.6608806,5,long_tail,Simpatico (1999),Comedy|Drama
43,2075,4.2264047,1,short_head,Mephisto (1981),Drama|War
43,1395,4.3167768,2,long_tail,Tin Men (1987),Comedy|Drama
43,2427,4.197807,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
43,3008,4.195257,4,short_head,Last Night (1998),Drama|Sci-Fi
43,3162,4.3078704,5,long_tail,Simpatico (1999),Comedy|Drama
44,2075,4.3370585,1,short_head,Mephisto (1981),Drama|War
44,1395,4.416289,2,long_tail,Tin Men (1987),Comedy|Drama
44,2427,4.311885,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
44,3008,4.3096385,4,short_head,Last Night (1998),Drama|Sci-Fi
44,2097,4.3064003,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
45,2075,4.3693547,1,short_head,Mephisto (1981),Drama|War
45,1395,4.4452186,2,long_tail,Tin Men (1987),Comedy|Drama
45,2427,4.3452225,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
45,3008,4.343068,4,short_head,Last Night (1998),Drama|Sci-Fi
45,2097,4.3399625,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
46,2075,3.9101007,1,short_head,Mephisto (1981),Drama|War
46,1395,4.0540366,2,long_tail,Tin Men (1987),Comedy|Drama
46,2427,3.8629656,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
46,3162,4.041763,4,long_tail,Simpatico (1999),Comedy|Drama
46,3008,3.856656,5,short_head,Last Night (1998),Drama|Sci-Fi
47,2075,4.392598,1,short_head,Mephisto (1981),Drama|War
47,1395,4.466008,2,long_tail,Tin Men (1987),Comedy|Drama
47,2427,4.369227,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
47,3008,4.3671403,4,short_head,Last Night (1998),Drama|Sci-Fi
47,2097,4.364132,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
48,2075,4.283168,1,short_head,Mephisto (1981),Drama|War
48,1395,4.3679004,2,long_tail,Tin Men (1987),Comedy|Drama
48,2427,4.256299,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
48,3008,4.253902,4,short_head,Last Night (1998),Drama|Sci-Fi
48,2097,4.2504478,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
49,1395,3.7964704,1,long_tail,Tin Men (1987),Comedy|Drama
49,2075,3.6254082,2,short_head,Mephisto (1981),Drama|War
49,3162,3.7817545,3,long_tail,Simpatico (1999),Comedy|Drama
49,2427,3.5704308,4,short_head,"Thin Red Line, The (1998)",Action|Drama|War
49,4261,3.7599704,5,long_tail,,
50,2075,4.3677773,1,short_head,Mephisto (1981),Drama|War
50,1395,4.443807,2,long_tail,Tin Men (1987),Comedy|Drama
50,2427,4.3435936,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
50,3162,4.436341,4,long_tail,Simpatico (1999),Comedy|Drama
50,3008,4.3414345,5,short_head,Last Night (1998),Drama|Sci-Fi
51,2075,4.492467,1,short_head,Mephisto (1981),Drama|War
51,1395,4.5550294,2,long_tail,Tin Men (1987),Comedy|Drama
51,2427,4.472477,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
51,3008,4.4706903,4,short_head,Last Night (1998),Drama|Sci-Fi
51,3162,4.548905,5,long_tail,Simpatico (1999),Comedy|Drama
52,2075,4.6324234,1,short_head,Mephisto (1981),Drama|War
52,1395,4.6789665,2,long_tail,Tin Men (1987),Comedy|Drama
52,2427,4.617476,3,short_head,"Thin Red Line, The (1998)",Action|Drama|War
52,3008,4.6161385,4,short_head,Last Night (1998),Drama|Sci-Fi
52,2097,4.6142097,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
